"GEO_ID","NAME","P1_001N","P1_001NA","P1_002N","P1_002NA","P1_003N","P1_003NA","P1_004N","P1_004NA","P1_005N","P1_005NA","P1_006N","P1_006NA","P1_007N","P1_007NA","P1_008N","P1_008NA","P1_009N","P1_009NA","P1_010N","P1_010NA","P1_011N","P1_011NA","P1_012N","P1_012NA","P1_013N","P1_013NA","P1_014N","P1_014NA","P1_015N","P1_015NA","P1_016N","P1_016NA","P1_017N","P1_017NA","P1_018N","P1_018NA","P1_019N","P1_019NA","P1_020N","P1_020NA","P1_021N","P1_021NA","P1_022N","P1_022NA","P1_023N","P1_023NA","P1_024N","P1_024NA","P1_025N","P1_025NA","P1_026N","P1_026NA","P1_027N","P1_027NA","P1_028N","P1_028NA","P1_029N","P1_029NA","P1_030N","P1_030NA","P1_031N","P1_031NA","P1_032N","P1_032NA","P1_033N","P1_033NA","P1_034N","P1_034NA","P1_035N","P1_035NA","P1_036N","P1_036NA","P1_037N","P1_037NA","P1_038N","P1_038NA","P1_039N","P1_039NA","P1_040N","P1_040NA","P1_041N","P1_041NA","P1_042N","P1_042NA","P1_043N","P1_043NA","P1_044N","P1_044NA","P1_045N","P1_045NA","P1_046N","P1_046NA","P1_047N","P1_047NA","P1_048N","P1_048NA","P1_049N","P1_049NA","P1_050N","P1_050NA","P1_051N","P1_051NA","P1_052N","P1_052NA","P1_053N","P1_053NA","P1_054N","P1_054NA","P1_055N","P1_055NA","P1_056N","P1_056NA","P1_057N","P1_057NA","P1_058N","P1_058NA","P1_059N","P1_059NA","P1_060N","P1_060NA","P1_061N","P1_061NA","P1_062N","P1_062NA","P1_063N","P1_063NA","P1_064N","P1_064NA","P1_065N","P1_065NA","P1_066N","P1_066NA","P1_067N","P1_067NA","P1_068N","P1_068NA","P1_069N","P1_069NA","P1_070N","P1_070NA","P1_071N","P1_071NA",
"1400000US25025061201","Census Tract 612.01, Suffolk County, Massachusetts","2013","null","1889","null","1593","null","72","null","0","null","170","null","0","null","54","null","124","null","114","null","8","null","6","null","26","null","3","null","53","null","4","null","5","null","0","null","9","null","0","null","0","null","0","null","0","null","0","null","0","null","9","null","1","null","1","null","0","null","5","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025061202","Census Tract 612.02, Suffolk County, Massachusetts","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025061203","Census Tract 612.03, Suffolk County, Massachusetts","2686","null","2491","null","2007","null","71","null","0","null","369","null","0","null","44","null","195","null","177","null","18","null","6","null","41","null","0","null","98","null","0","null","5","null","4","null","2","null","0","null","0","null","2","null","1","null","0","null","0","null","12","null","5","null","0","null","0","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","6","null","0","null","0","null","5","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025061204","Census Tract 612.04, Suffolk County, Massachusetts","937","null","880","null","793","null","12","null","0","null","64","null","0","null","11","null","57","null","45","null","3","null","1","null","9","null","0","null","24","null","1","null","0","null","2","null","1","null","0","null","0","null","1","null","0","null","3","null","0","null","10","null","2","null","1","null","0","null","3","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","2","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070102","Census Tract 701.02, Suffolk County, Massachusetts","3687","null","3483","null","2318","null","261","null","9","null","745","null","4","null","146","null","204","null","196","null","26","null","11","null","49","null","1","null","79","null","1","null","2","null","0","null","23","null","0","null","0","null","0","null","0","null","4","null","0","null","6","null","3","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070103","Census Tract 701.03, Suffolk County, Massachusetts","751","null","712","null","246","null","72","null","2","null","371","null","0","null","21","null","39","null","36","null","3","null","0","null","6","null","1","null","19","null","0","null","0","null","1","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070104","Census Tract 701.04, Suffolk County, Massachusetts","2862","null","2654","null","1888","null","53","null","3","null","667","null","0","null","43","null","208","null","202","null","21","null","4","null","69","null","0","null","96","null","0","null","1","null","0","null","4","null","0","null","0","null","1","null","1","null","5","null","0","null","6","null","3","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070201","Census Tract 702.01, Suffolk County, Massachusetts","3990","null","3901","null","2364","null","180","null","0","null","1264","null","0","null","93","null","89","null","82","null","2","null","3","null","29","null","0","null","36","null","0","null","1","null","0","null","7","null","1","null","1","null","1","null","0","null","1","null","0","null","4","null","2","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","1","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070202","Census Tract 702.02, Suffolk County, Massachusetts","5460","null","5158","null","1701","null","197","null","4","null","3118","null","4","null","134","null","302","null","286","null","30","null","4","null","80","null","0","null","146","null","8","null","1","null","0","null","10","null","0","null","0","null","4","null","0","null","3","null","0","null","16","null","0","null","8","null","0","null","7","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070301","Census Tract 703.01, Suffolk County, Massachusetts","2213","null","2048","null","1722","null","50","null","2","null","207","null","1","null","66","null","165","null","152","null","14","null","4","null","53","null","1","null","67","null","3","null","2","null","0","null","5","null","2","null","0","null","0","null","0","null","1","null","0","null","8","null","0","null","0","null","0","null","3","null","1","null","0","null","1","null","1","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","2","null","0","null","1","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070302","Census Tract 703.02, Suffolk County, Massachusetts","2090","null","1960","null","1451","null","55","null","2","null","426","null","1","null","25","null","130","null","114","null","14","null","3","null","27","null","0","null","62","null","0","null","2","null","0","null","4","null","0","null","0","null","2","null","0","null","0","null","0","null","13","null","3","null","2","null","0","null","1","null","3","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070402","Census Tract 704.02, Suffolk County, Massachusetts","3561","null","3344","null","1515","null","401","null","3","null","1310","null","0","null","115","null","217","null","198","null","14","null","2","null","29","null","0","null","120","null","7","null","3","null","1","null","20","null","0","null","0","null","0","null","0","null","2","null","0","null","17","null","1","null","2","null","0","null","3","null","1","null","0","null","2","null","0","null","5","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070501","Census Tract 705.01, Suffolk County, Massachusetts","2223","null","2091","null","1678","null","69","null","5","null","272","null","2","null","65","null","132","null","131","null","5","null","4","null","33","null","0","null","68","null","4","null","2","null","0","null","15","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070502","Census Tract 705.02, Suffolk County, Massachusetts","3393","null","3147","null","1704","null","316","null","15","null","630","null","7","null","475","null","246","null","220","null","27","null","2","null","25","null","0","null","119","null","3","null","4","null","1","null","36","null","2","null","0","null","0","null","0","null","1","null","0","null","25","null","3","null","0","null","0","null","9","null","0","null","0","null","3","null","2","null","5","null","0","null","1","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070600","Census Tract 706, Suffolk County, Massachusetts","2287","null","2108","null","1822","null","104","null","2","null","128","null","0","null","52","null","179","null","163","null","10","null","10","null","45","null","1","null","76","null","2","null","5","null","0","null","14","null","0","null","0","null","0","null","0","null","0","null","0","null","12","null","2","null","0","null","0","null","7","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","4","null","0","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25025070700","Census Tract 707, Suffolk County, Massachusetts","2527","null","2313","null","1413","null","506","null","10","null","266","null","0","null","118","null","214","null","191","null","24","null","2","null","43","null","0","null","82","null","5","null","5","null","0","null","29","null","0","null","0","null","0","null","0","null","1","null","0","null","22","null","11","null","0","null","0","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
