GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010
"G25002707221001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"722100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277221001",,,"Block Group 1, Census Tract 7221, Worcester County, Massachusetts",1496,1314,24,0,17,0,0,141,126,15,"Block Group 1, Census Tract 7221, Worcester County, Massachusetts",439,390,41,13,28,13,13,128,126,33
"G25002707221002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"722100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277221002",,,"Block Group 2, Census Tract 7221, Worcester County, Massachusetts",950,950,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 7221, Worcester County, Massachusetts",330,330,13,13,13,13,13,13,13,13
"G25002707221003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"722100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277221003",,,"Block Group 3, Census Tract 7221, Worcester County, Massachusetts",2121,2014,79,0,0,24,0,4,4,0,"Block Group 3, Census Tract 7221, Worcester County, Massachusetts",509,516,71,13,13,40,13,8,8,13
"G25002707221004","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"722100","4",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277221004",,,"Block Group 4, Census Tract 7221, Worcester County, Massachusetts",995,968,0,0,0,0,0,27,0,27,"Block Group 4, Census Tract 7221, Worcester County, Massachusetts",471,480,13,13,13,13,13,39,13,39
"G25002707231001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"723100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277231001",,,"Block Group 1, Census Tract 7231, Worcester County, Massachusetts",2191,2138,2,2,5,0,5,39,33,6,"Block Group 1, Census Tract 7231, Worcester County, Massachusetts",227,232,4,4,7,13,12,34,32,10
"G25002707231002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"723100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277231002",,,"Block Group 2, Census Tract 7231, Worcester County, Massachusetts",848,710,5,0,0,0,21,112,94,18,"Block Group 2, Census Tract 7231, Worcester County, Massachusetts",231,189,8,13,13,13,27,124,122,16
"G25002707231003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"723100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277231003",,,"Block Group 3, Census Tract 7231, Worcester County, Massachusetts",1155,1134,0,0,3,0,0,18,0,18,"Block Group 3, Census Tract 7231, Worcester County, Massachusetts",157,160,13,13,4,13,13,16,13,16
"G25002707241001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"724100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277241001",,,"Block Group 1, Census Tract 7241, Worcester County, Massachusetts",1248,1237,0,0,0,0,0,11,8,3,"Block Group 1, Census Tract 7241, Worcester County, Massachusetts",254,256,13,13,13,13,13,13,12,6
"G25002707241002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"724100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277241002",,,"Block Group 2, Census Tract 7241, Worcester County, Massachusetts",964,887,9,0,0,0,23,45,0,45,"Block Group 2, Census Tract 7241, Worcester County, Massachusetts",225,199,15,13,13,13,40,69,13,69
"G25002707241003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"724100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277241003",,,"Block Group 3, Census Tract 7241, Worcester County, Massachusetts",1509,1437,0,43,0,0,29,0,0,0,"Block Group 3, Census Tract 7241, Worcester County, Massachusetts",284,273,13,60,13,13,46,13,13,13
"G25002707251001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"725100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277251001",,,"Block Group 1, Census Tract 7251, Worcester County, Massachusetts",959,917,34,0,7,0,1,0,0,0,"Block Group 1, Census Tract 7251, Worcester County, Massachusetts",316,291,42,13,13,13,2,13,13,13
"G25002707251002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"725100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277251002",,,"Block Group 2, Census Tract 7251, Worcester County, Massachusetts",1240,1189,28,0,6,0,0,17,0,17,"Block Group 2, Census Tract 7251, Worcester County, Massachusetts",449,468,44,13,10,13,13,31,13,31
"G25002707251003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"725100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277251003",,,"Block Group 3, Census Tract 7251, Worcester County, Massachusetts",559,549,5,0,5,0,0,0,0,0,"Block Group 3, Census Tract 7251, Worcester County, Massachusetts",194,196,9,13,9,13,13,13,13,13
"G25002707251004","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"725100","4",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277251004",,,"Block Group 4, Census Tract 7251, Worcester County, Massachusetts",624,624,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 7251, Worcester County, Massachusetts",221,221,13,13,13,13,13,13,13,13
"G25002707251005","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"725100","5",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277251005",,,"Block Group 5, Census Tract 7251, Worcester County, Massachusetts",1392,1371,0,0,0,0,10,11,11,0,"Block Group 5, Census Tract 7251, Worcester County, Massachusetts",326,326,13,13,13,13,18,18,18,13
