"GEO_ID","NAME","P001001","P001001ERR","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071",
"1000000US250250924001003","Block 1003, Block Group 1, Census Tract 924, Suffolk County, Massachusetts","31","null","31","0","29","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924001004","Block 1004, Block Group 1, Census Tract 924, Suffolk County, Massachusetts","126","null","119","6","98","0","0","0","15","7","7","1","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924001005","Block 1005, Block Group 1, Census Tract 924, Suffolk County, Massachusetts","128","null","125","16","104","1","0","0","4","3","3","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924001006","Block 1006, Block Group 1, Census Tract 924, Suffolk County, Massachusetts","112","null","107","6","90","0","0","0","11","5","5","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924001007","Block 1007, Block Group 1, Census Tract 924, Suffolk County, Massachusetts","35","null","34","2","24","0","0","0","8","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924002000","Block 2000, Block Group 2, Census Tract 924, Suffolk County, Massachusetts","225","null","219","14","147","11","7","0","40","6","6","1","1","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924002001","Block 2001, Block Group 2, Census Tract 924, Suffolk County, Massachusetts","147","null","136","7","112","6","0","0","11","11","10","2","0","0","0","0","0","0","3","5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924002002","Block 2002, Block Group 2, Census Tract 924, Suffolk County, Massachusetts","74","null","66","0","56","0","0","0","10","8","8","0","0","0","0","1","2","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924002003","Block 2003, Block Group 2, Census Tract 924, Suffolk County, Massachusetts","257","null","238","35","184","0","0","0","19","19","19","6","1","0","0","2","2","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924002004","Block 2004, Block Group 2, Census Tract 924, Suffolk County, Massachusetts","141","null","130","7","123","0","0","0","0","11","4","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924002005","Block 2005, Block Group 2, Census Tract 924, Suffolk County, Massachusetts","245","null","223","16","183","4","0","0","20","22","20","2","0","0","0","0","0","0","0","13","0","0","3","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US250250924003000","Block 3000, Block Group 3, Census Tract 924, Suffolk County, Massachusetts","4","null","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
